system:index,region,vegClimZoneLab,pop,ref,skog
+18209+229355,Vestlandet,Boreonemoral sone (BN),"0.532496452331543","0.103856086730957","4.498009747886981"
+18211+229356,Vestlandet,Boreonemoral sone (BN),"0.6559596061706543","0.103856086730957","4.498009747886981"
+18221+229360,Vestlandet,Boreonemoral sone (BN),"3.452306747436523","0.103856086730957","4.498009747886981"
+18231+229351,Vestlandet,Boreonemoral sone (BN),"0.5559768676757812","0.103856086730957","4.498009747886981"
+18233+229214,Vestlandet,Boreonemoral sone (BN),"1.230732440948486","0.103856086730957","4.498009747886981"
+18274+229239,Vestlandet,Boreonemoral sone (BN),"1.078792095184326","0.103856086730957","4.498009747886981"
+18973+225219,Vestlandet,Boreonemoral sone (BN),"1.770081162452698","0.103856086730957","4.498009747886981"
+18985+225088,Vestlandet,Boreonemoral sone (BN),"2.835476875305176","0.103856086730957","4.498009747886981"
+18990+225194,Vestlandet,Boreonemoral sone (BN),"0.4408812522888184","0.103856086730957","4.498009747886981"
+18995+225214,Vestlandet,Boreonemoral sone (BN),"2.112846374511719","0.103856086730957","4.498009747886981"
+19003+225192,Vestlandet,Boreonemoral sone (BN),"1.719280242919922","0.103856086730957","4.498009747886981"
+19005+224999,Vestlandet,Boreonemoral sone (BN),"0.5670318603515625","0.103856086730957","4.498009747886981"
+19018+225001,Vestlandet,Boreonemoral sone (BN),"0.7293529510498047","0.103856086730957","4.498009747886981"
+19029+224996,Vestlandet,Boreonemoral sone (BN),"0.7320938110351562","0.103856086730957","4.498009747886981"
+19155+224946,Vestlandet,Boreonemoral sone (BN),"0.2038051060267857","0.103856086730957","4.498009747886981"
+19162+224936,Vestlandet,Boreonemoral sone (BN),"1.169078826904297","0.103856086730957","4.498009747886981"
+19179+224932,Vestlandet,Boreonemoral sone (BN),"0.103856086730957","0.103856086730957","4.498009747886981"
+19293+219565,Vestlandet,Boreonemoral sone (BN),"0.103856086730957","0.103856086730957","4.498009747886981"
+19330+224942,Vestlandet,Boreonemoral sone (BN),"1.792399406433106","0.103856086730957","4.498009747886981"
+19334+224961,Vestlandet,Boreonemoral sone (BN),"0.462799072265625","0.103856086730957","4.498009747886981"
+19692+219664,Vestlandet,Boreonemoral sone (BN),"0.5604972839355469","0.103856086730957","4.498009747886981"
+21018+223724,Vestlandet,Boreonemoral sone (BN),"1.681118011474609","0.103856086730957","4.498009747886981"
+21044+223744,Vestlandet,Boreonemoral sone (BN),"1.276898193359375","0.103856086730957","4.498009747886981"
+21072+223997,Vestlandet,Boreonemoral sone (BN),"8.283443450927734","0.103856086730957","4.498009747886981"
+21096+224036,Vestlandet,Boreonemoral sone (BN),"3.478012084960938","0.103856086730957","4.498009747886981"
+21101+224036,Vestlandet,Boreonemoral sone (BN),"3.881370544433594","0.103856086730957","4.498009747886981"
+21101+224041,Vestlandet,Boreonemoral sone (BN),"10.94783782958984","0.103856086730957","4.498009747886981"
+21102+224025,Vestlandet,Boreonemoral sone (BN),"6.31956958770752","0.103856086730957","4.498009747886981"
+21111+224040,Vestlandet,Boreonemoral sone (BN),"6.674728393554688","0.103856086730957","4.498009747886981"
+21115+224047,Vestlandet,Boreonemoral sone (BN),"1.720672607421875","0.103856086730957","4.498009747886981"
+21116+224028,Vestlandet,Boreonemoral sone (BN),"1.730533599853516","0.103856086730957","4.498009747886981"
+21117+224039,Vestlandet,Boreonemoral sone (BN),"4.05462646484375","0.103856086730957","4.498009747886981"
+21120+224041,Vestlandet,Boreonemoral sone (BN),"0.7329483032226562","0.103856086730957","4.498009747886981"
+21121+224048,Vestlandet,Boreonemoral sone (BN),"4.029922485351562","0.103856086730957","4.498009747886981"
+21122+224044,Vestlandet,Boreonemoral sone (BN),"0.3223037719726562","0.103856086730957","4.498009747886981"
+21129+224039,Vestlandet,Boreonemoral sone (BN),"0.2797489166259766","0.103856086730957","4.498009747886981"
+21130+223866,Vestlandet,Boreonemoral sone (BN),"0.647064208984375","0.103856086730957","4.498009747886981"
+21132+223864,Vestlandet,Boreonemoral sone (BN),"2.549674987792969","0.103856086730957","4.498009747886981"
+21680+231530,Midt-Norge,Sørboreal sone (SB),"0.1593577927405681","0.1593577927405681","1.831350345693832"
+21698+231523,Midt-Norge,Sørboreal sone (SB),"6.80259895324707","0.1593577927405681","1.831350345693832"
+21708+231528,Midt-Norge,Sørboreal sone (SB),"0.4950466156005859","0.1593577927405681","1.831350345693832"
+21732+231538,Midt-Norge,Sørboreal sone (SB),"0.5521774291992188","0.1593577927405681","1.831350345693832"
+21746+231543,Midt-Norge,Sørboreal sone (SB),"0.3842010498046875","0.1593577927405681","1.831350345693832"
+21769+231563,Midt-Norge,Sørboreal sone (SB),"0.1750015258789062","0.1593577927405681","1.831350345693832"
+21791+231591,Midt-Norge,Sørboreal sone (SB),"0.1593577927405681","0.1593577927405681","1.831350345693832"
+21812+231601,Midt-Norge,Sørboreal sone (SB),"0.1593577927405681","0.1593577927405681","1.831350345693832"
+21818+231603,Midt-Norge,Sørboreal sone (SB),"0.1593577927405681","0.1593577927405681","1.831350345693832"
+22383+230725,Midt-Norge,Sørboreal sone (SB),"1.087112426757812","0.1593577927405681","1.831350345693832"
+22552+219457,Vestlandet,Boreonemoral sone (BN),"0.103856086730957","0.103856086730957","4.498009747886981"
+22624+230825,Midt-Norge,Sørboreal sone (SB),"0.1593577927405681","0.1593577927405681","1.831350345693832"
+22679+219698,Vestlandet,Boreonemoral sone (BN),"7.467630386352539","0.103856086730957","4.498009747886981"
+22682+219697,Vestlandet,Boreonemoral sone (BN),"0.103856086730957","0.103856086730957","4.498009747886981"
+22705+219731,Vestlandet,Boreonemoral sone (BN),"0.103856086730957","0.103856086730957","4.498009747886981"
+22742+230749,Midt-Norge,Sørboreal sone (SB),"2.463886260986328","0.1593577927405681","1.831350345693832"
+22754+219636,Vestlandet,Boreonemoral sone (BN),"0.27880859375","0.103856086730957","4.498009747886981"
+23234+221255,Vestlandet,Sørboreal sone (SB),"0.1987848877906799","0.1987848877906799","5.843530128691545"
+23245+221258,Vestlandet,Sørboreal sone (SB),"0.4399337768554687","0.1987848877906799","5.843530128691545"
+23250+221251,Vestlandet,Sørboreal sone (SB),"1.09075927734375","0.1987848877906799","5.843530128691545"
